Trial,Location,Year,Date,Plot No,Date_of_Germination,Date_of_Anthesis ,Date_of_Silking ,Plant_Height ,Cob_Height ,No_of_Plants,No_of_Cobs,Field_weight,Grain_weight,Grain_wt_100,Moisture_NARC,Canopy_Temp
NARC 2017 Date 1,NARC,2017,Date1,1,42809,42883,42885,5.1,2.7,2,1,100,35,15,21,30.7
NARC 2017 Date 1,NARC,2017,Date1,2,42809,42883,42885,4.1,2.1,10,9,335,122,23,22,30
NARC 2017 Date 1,NARC,2017,Date1,3,42810,42887,42889,4.1,1.9,9,10,137,97,18,20,31.3
NARC 2017 Date 1,NARC,2017,Date1,4,42812,42886,42888,4.9,2.6,10,13,279,207,25,19,29
NARC 2017 Date 1,NARC,2017,Date1,5,42809,42883,42885,4.1,1.6,7,7,98,60,18,18,31
NARC 2017 Date 1,NARC,2017,Date1,6,42810,42885,42888,6.8,2.8,12,23,723,400,26,19,30.7
NARC 2017 Date 1,NARC,2017,Date1,7,42809,42880,42884,6.1,3.5,10,6,1030,980,25,18.5,30.3
NARC 2017 Date 1,NARC,2017,Date1,8,42809,42888,42891,4.8,1.8,13,8,502,300,19,19.8,30
NARC 2017 Date 1,NARC,2017,Date1,9,42809,42887,42889,5.6,2.8,9,10,400,319,18,18,31
NARC 2017 Date 1,NARC,2017,Date1,10,42812,42887,42890,4.6,2.1,7,6,250,200,19,19,31
NARC 2017 Date 1,NARC,2017,Date1,11,42809,42889,42893,5.1,2.5,7,7,150,135,18,18.9,30
NARC 2017 Date 1,NARC,2017,Date1,12,42809,42888,42891,5,2.5,12,10,309,215,18,20,30.7
NARC 2017 Date 1,NARC,2017,Date1,13,42812,42889,42892,4.8,2.6,9,9,247,150,21,18.7,31
NARC 2017 Date 1,NARC,2017,Date1,14,42812,42878,42881,5.1,2.8,9,10,613,452,24,20.3,30.3
NARC 2017 Date 1,NARC,2017,Date1,15,42809,42879,42882,4.9,2.9,13,12,291,189,25,18,29
NARC 2017 Date 1,NARC,2017,Date1,16,42809,42878,42882,5.8,2.9,14,12,900,662,18,18.7,30
NARC 2017 Date 1,NARC,2017,Date1,15,42812,42889,42893,6.4,3.6,7,8,313,320,22,18.9,31.3
NARC 2017 Date 1,NARC,2017,Date1,18,42809,42885,42888,6.8,3.7,13,16,1123,623,21,19.2,30
NARC 2017 Date 1,NARC,2017,Date1,19,42809,42885,42890,5.3,3.1,12,14,920,821,23,20,29.7
NARC 2017 Date 1,NARC,2017,Date1,20,42812,42884,42887,5.7,3.7,8,9,159,102,27,18.6,30.3
NARC 2017 Date 1,NARC,2017,Date1,CH1,42809,42877,42910,6.2,2.9,11,12,1230,723,24,18.7,30
NARC 2017 Date 1,NARC,2017,Date1,CH2,42812,42888,42891,6.7,3.3,13,13,960,750,25,18.5,30.3
NARC 2017 Date 1,NARC,2017,Date1,CH3,42810,42873,42876,5.1,2.4,12,11,190,102,26,19,29.3
NARC 2017 Date 1,NARC,2017,Date1,21,42809,42887,42890,8.3,4.7,13,20,1230,921,25,18.6,29
NARC 2017 Date 1,NARC,2017,Date1,22,42809,42878,42912,6,4,10,11,150,100,33,19,30.3
NARC 2017 Date 1,NARC,2017,Date1,23,42809,42876,42878,6.7,3.7,13,14,623,521,24,18.7,29
NARC 2017 Date 1,NARC,2017,Date1,24,42809,42889,42892,6.4,3.7,12,13,111,65,18,18.4,29.7
NARC 2017 Date 1,NARC,2017,Date1,25,42809,42882,42886,6.1,3.7,10,14,800,570,15,17,29.7
NARC 2017 Date 1,NARC,2017,Date1,26,42812,42887,42890,5.7,3.5,9,6,250,162,19,18.6,29.7
NARC 2017 Date 1,NARC,2017,Date1,27,42809,42884,42887,7.6,4.4,8,10,1026,957,22,15.9,29.7
NARC 2017 Date 1,NARC,2017,Date1,28,42810,42877,42881,5.7,2.9,9,10,540,320,27,18.6,29.3
NARC 2017 Date 1,NARC,2017,Date1,29,42809,42875,42878,5.4,2.9,8,12,457,357,19,18.5,30.3
NARC 2017 Date 1,NARC,2017,Date1,30,42809,42884,42888,7.2,3.6,10,6,126,102,18,20,30.7
NARC 2017 Date 1,NARC,2017,Date1,31,42812,42878,42883,7.2,3.9,12,14,1620,1350,25,18.9,30.7
