plot,pass,range,nitrogen,entry,rep,block,plot,name,pedigree1,H1_wetbundle1,H1_wetbundle2,H2_wetbundle,H3_wetbundle,H4_wetbundle,H5_wetbundle,H1_nplants,H1_stemdry,H1_leafdry,H2_nplants,H2_stemdry,H2_leafdry,H3_nplants,H3_stemdry,H3_leafdry,H4_nplants,H4_stemdry,H4_leafdry,H5_nplants,H5_stemdry,H5_leafdry,height
SV19_1501,1,1,X,3,1,NA,1001,I07112,R99 NO NOD,107.4,155.1,820,1360,1200,480,15,11.6,27.3,13,63.3,66.7,15,169.7,56.3,16,145.4,114.3,11,84.5,83.3,43
SV19_1502,1,2,X,2,1,NA,1002,B17922,B14302/B10244,74,87.4,380,1540,960,340,13,8.2,17,13,24.3,33.5,15,166.7,73.6,18,73.5,178,12,53.5,205.7,48
SV19_1503,1,3,X,1,1,NA,1003,B18504,Zenith//Alpena*/B09197,134.8,138.8,900,1380,1180,280,15,14.4,26.9,13,66.6,63.2,15,162.7,70.5,15,81.8,205.5,12,58,147.1,45
SV19_1504,1,4,X,2,2,NA,2001,B17922,B14302/B10244,101.6,98.5,840,1360,940,300,12,10.6,21.6,17,65.4,64.2,13,145.9,87.3,15,77.2,192.7,15,55.5,172.3,50
SV19_1505,1,5,X,3,2,NA,2002,I07112,R99 NO NOD,100.1,77.9,660,1240,920,480,13,9.4,20.4,12,50.4,58.2,16,135.1,72.6,15,91.4,133.2,15,71.7,140.6,42
SV19_1506,1,6,X,1,2,NA,2003,B18504,Zenith//Alpena*/B09197,85.2,121.8,720,1460,900,300,16,12.3,21.5,NA,NA,NA,17,141.8,117,14,73.4,194.1,16,NA,199.7,50
SV19_1507,1,7,X,1,3,NA,3001,B18504,Zenith//Alpena*/B09197,98,102.6,920,1920,940,340,15,11.7,21.5,NA,NA,NA,20,203.3,119.9,14,83.5,192.9,16,45.4,230,48
SV19_1508,1,8,X,2,3,NA,3002,B17922,B14302/B10244,61.1,100.3,700,1260,760,340,13,8.5,17.9,14,42.0,54.2,14,133.1,88.2,13,61.4,148.9,17,61.6,216.9,51
SV19_1509,1,9,X,3,3,NA,3003,I07112,R99 NO NOD,104.5,108.6,660,1480,1000,420,15,11.2,25.2,12,43.4,51.7,17,161.6,93.7,16,95.5,171.2,15,73.9,165,45
SV19_1510,1,10,X,1,4,NA,4001,B18504,Zenith//Alpena*/B09197,71.8,67.9,540,1280,860,320,14,7.8,15.1,14,34.7,40.2,14,131.7,74.9,16,80,180.2,18,26.7,209.5,48
SV19_1511,1,11,X,3,4,NA,4002,I07112,R99 NO NOD,100.7,91.3,740,1420,780,400,13,9.8,24,17,50.4,64.9,16,150.3,81.2,15,79.7,123.1,15,60.8,161.5,45
SV19_1512,1,12,X,2,4,NA,4003,B17922,B14302/B10244,145.2,127.9,860,1520,680,300,13,14,31.1,15,56.7,68.6,19,168.7,87.2,13,72.6,118.3,18,64.7,155.5,48
SV19_1513,2,1,X,5,1,NA,NA,B10244,"B04644/ZORRO, ZENITH",91,147,840,1560,1320,500,13,10.4,23.5,NA,NA,NA,15,166.9,74.8,13,128.5,197.3,12,53.5,206.5,42
SV19_1514,2,2,X,5,2,NA,NA,B10244,"B04644/ZORRO, ZENITH",73.6,73.8,520,1380,1020,480,13,7.9,15.6,NA,NA,NA,13,151.1,74.1,11,95.7,157.5,13,51.6,188.8,40
SV19_1515,2,3,X,5,3,NA,NA,B10244,"B04644/ZORRO, ZENITH",103.3,112.5,780,1220,880,380,14,10.7,22,NA,NA,NA,15,179.6,49.3,10,86.3,147.1,12,56.9,198.2,38
SV19_1516,2,4,X,5,4,NA,NA,B10244,"B04644/ZORRO, ZENITH",64.2,60.2,540,1240,860,340,11,7.1,14.5,NA,NA,NA,10,146.5,71.1,10,90.8,142.4,13,48.9,177.9,39
