id,Row,Column,Individual,Percent_Digested,Date,Plate,Absorbance1,Absorbance2,Abs2_1
1,A,2,128,31.50470219,42094,86,0.437,0.638,0.201
2,B,2,161,36.47912886,42094,86,0.35,0.551,0.201
3,C,2,176,36.17021277,42094,86,0.42,0.658,0.238
4,D,2,186,32.95454545,42094,86,0.354,0.528,0.174
5,E,2,205,26.68393782,42094,86,0.283,0.386,0.103
6,F,2,216,23.67864693,42094,86,0.361,0.473,0.112
7,G,2,229,35.64547206,42094,86,0.334,0.519,0.185
8,H,2,242,39.70588235,42094,86,0.164,0.272,0.108
9,A,4,128,35.36585366,42094,86,0.424,0.656,0.232
10,B,4,161,35.66308244,42094,86,0.359,0.558,0.199
11,C,4,176,29.70779221,42094,86,0.433,0.616,0.183
12,D,4,186,37.47228381,42094,86,0.282,0.451,0.169
13,E,4,205,31.46292585,42094,86,0.342,0.499,0.157
14,F,4,216,23.35025381,42094,86,0.453,0.591,0.138
15,G,4,229,33.39253996,42094,86,0.375,0.563,0.188
16,H,4,242,31.16883117,42094,86,0.212,0.308,0.096
17,A,6,245,19.02173913,42094,86,0.447,0.552,0.105
18,B,6,245,17.62523191,42094,86,0.444,0.539,0.095
19,C,6,249,27.69556025,42094,86,0.342,0.473,0.131
20,D,6,249,24.18831169,42094,86,0.467,0.616,0.149
21,E,6,253,8.611111111,42094,86,0.658,0.72,0.062
22,F,6,253,12.51758087,42094,86,0.622,0.711,0.089
23,G,6,258,33.93501805,42094,86,0.366,0.554,0.188
24,H,6,258,27.67676768,42094,86,0.358,0.495,0.137
25,A,8,Tx623,8.061002179,42094,86,0.422,0.459,0.037
26,B,8,268,30.55954089,42094,86,0.484,0.697,0.213
27,C,8,283,30.29453015,42094,86,0.497,0.713,0.216
28,D,8,305,31.5417256,42094,86,0.484,0.707,0.223
29,F,8,322,31.4699793,42094,86,0.331,0.483,0.152
30,G,8,329,34.14634146,42094,86,0.27,0.41,0.14
31,H,8,331,31.34920635,42094,86,0.346,0.504,0.158
32,A,10,P721Q,25.25773196,42094,86,0.435,0.582,0.147
33,B,10,268,30.46357616,42094,86,0.42,0.604,0.184
34,C,10,283,29.15360502,42094,86,0.452,0.638,0.186
35,D,10,305,35.15981735,42094,86,0.426,0.657,0.231
36,E,10,307,32.9512894,42094,86,0.468,0.698,0.23
37,F,10,322,32.25225225,42094,86,0.376,0.555,0.179
38,G,10,329,30.36649215,42094,86,0.266,0.382,0.116
39,H,10,331,32.23819302,42094,86,0.33,0.487,0.157
40,B,12,332,26.06284658,42094,86,0.4,0.541,0.141
41,C,12,332,28.04642166,42094,86,0.372,0.517,0.145
42,D,12,333,14.65201465,42094,86,0.466,0.546,0.08
43,E,12,333,16.85823755,42094,86,0.434,0.522,0.088
44,F,12,361,35.24416136,42094,86,0.305,0.471,0.166
45,A,2,392,41.05621806,42094,87,0.346,0.587,0.241
46,B,2,425,33.67768595,42094,87,0.321,0.484,0.163
47,C,2,440,27.94457275,42094,87,0.312,0.433,0.121
48,D,2,570,29.55465587,42094,87,0.348,0.494,0.146
49,E,2,590,29.76190476,42094,87,0.354,0.504,0.15
50,F,2,613,43.68070953,42094,87,0.254,0.451,0.197
51,G,2,666,32.87937743,42094,87,0.345,0.514,0.169
52,H,2,845,38.29268293,42094,87,0.253,0.41,0.157
53,A,4,392,35.44117647,42094,87,0.439,0.68,0.241
54,B,4,425,29.77941176,42094,87,0.382,0.544,0.162
55,C,4,440,28.07775378,42094,87,0.333,0.463,0.13
56,D,4,570,29.71530249,42094,87,0.395,0.562,0.167
57,E,4,590,28.4375,42094,87,0.458,0.64,0.182
58,F,4,613,32.19315895,42094,87,0.337,0.497,0.16
59,G,4,666,35.10273973,42094,87,0.379,0.584,0.205
60,H,4,845,38.95781638,42094,87,0.246,0.403,0.157
61,A,6,984,36.9047619,42094,87,0.318,0.504,0.186
62,B,6,984,32.2761194,42094,87,0.363,0.536,0.173
63,C,6,986,18.9453125,42094,87,0.415,0.512,0.097
64,D,6,986,22.94455067,42094,87,0.403,0.523,0.12
65,E,6,990,30.36363636,42094,87,0.383,0.55,0.167
66,F,6,990,28.54700855,42094,87,0.418,0.585,0.167
67,G,6,1001,45.41484716,42094,87,0.25,0.458,0.208
68,H,6,1001,40.99173554,42094,87,0.357,0.605,0.248
69,A,8,Tx623,12.45901639,42094,87,0.534,0.61,0.076
70,B,8,1008,30.20833333,42094,87,0.402,0.576,0.174
71,C,8,1034,8.260869565,42094,87,0.844,0.92,0.076
72,D,8,1037,39.81481481,42094,87,0.26,0.432,0.172
73,E,8,1052,26.33863965,42094,87,0.509,0.691,0.182
74,F,8,182,21.80094787,42094,87,0.495,0.633,0.138
75,G,8,72,39.87730061,42094,87,0.294,0.489,0.195
76,H,8,152,36.83127572,42094,87,0.307,0.486,0.179
77,A,10,P721Q,26.34482759,42094,87,0.534,0.725,0.191
78,B,10,1008,33.26488706,42094,87,0.325,0.487,0.162
79,C,10,1034,12.72923409,42094,87,0.809,0.927,0.118
80,D,10,1037,36.82926829,42094,87,0.259,0.41,0.151
81,E,10,1052,29.7029703,42094,87,0.426,0.606,0.18
82,F,10,182,11.23287671,42094,87,0.648,0.73,0.082
83,G,10,72,42.95454545,42094,87,0.251,0.44,0.189
84,H,10,152,44.21296296,42094,87,0.241,0.432,0.191
85,B,12,116,27.42268041,42094,87,0.352,0.485,0.133
86,C,12,116,28.32167832,42094,87,0.41,0.572,0.162
87,D,12,137,28.30540037,42094,87,0.385,0.537,0.152
88,E,12,137,33.55263158,42094,87,0.303,0.456,0.153
89,F,12,89,36.2745098,42094,87,0.325,0.51,0.185
90,G,12,89,41.34199134,42094,87,0.271,0.462,0.191
91,A,2,192,48.5013624,42096,88,0.19,0.368,0.178
92,B,2,502,27.75510204,42096,88,0.355,0.491,0.136
93,C,2,873,34.34535104,42096,88,0.347,0.528,0.181
94,D,2,133,23.903177,42096,88,0.504,0.662,0.158
95,E,2,115,18.85521886,42096,88,0.483,0.595,0.112
96,F,2,361,38.81453155,42096,88,0.321,0.524,0.203
97,G,2,986,38.04173355,42096,88,0.387,0.624,0.237
